HDR,ROLLING SYSTEM DEMAND
VD,20200306024000,28855
VD,20200306024500,28854
VD,20200306025000,28844
VD,20200306025500,28856
VD,20200306030000,28794
VD,20200306030500,28874
VD,20200306031000,28880
VD,20200306031500,28806
VD,20200306032000,28755
VD,20200306032500,28742
VD,20200306033000,28784
VD,20200306033500,28748
VD,20200306034000,28640
VD,20200306034500,28553
VD,20200306035000,28498
VD,20200306035500,28417
VD,20200306040000,28413
VD,20200306040500,28409
VD,20200306041000,28356
VD,20200306041500,28254
VD,20200306042000,28279
VD,20200306042500,28253
VD,20200306043000,28225
VD,20200306043500,28231
VD,20200306044000,28282
VD,20200306044500,28306
VD,20200306045000,28359
VD,20200306045500,28342
VD,20200306050000,28426
VD,20200306050500,28355
VD,20200306051000,28333
VD,20200306051500,28216
VD,20200306052000,28329
VD,20200306052500,28446
VD,20200306053000,28524
VD,20200306053500,28750
VD,20200306054000,29004
VD,20200306054500,29265
VD,20200306055000,29591
VD,20200306055500,29886
VD,20200306060000,30274
VD,20200306060500,31054
VD,20200306061000,31941
VD,20200306061500,32495
VD,20200306062000,33019
VD,20200306062500,33539
VD,20200306063000,33908
VD,20200306063500,34573
VD,20200306064000,34919
VD,20200306064500,35281
VD,20200306065000,35656
VD,20200306065500,36162
VD,20200306070000,36591
VD,20200306070500,36939
VD,20200306071000,37659
VD,20200306071500,38413
VD,20200306072000,38597
VD,20200306072500,38705
VD,20200306073000,38834
VD,20200306073500,38952
VD,20200306074000,39061
VD,20200306074500,39239
VD,20200306075000,39454
VD,20200306075500,39464
VD,20200306080000,39463
VD,20200306080500,39497
VD,20200306081000,39520
VD,20200306081500,39451
VD,20200306082000,39268
VD,20200306082500,39205
VD,20200306083000,39177
VD,20200306083500,39009
VD,20200306084000,38959
VD,20200306084500,39007
VD,20200306085000,38933
VD,20200306085500,38879
VD,20200306090000,38854
VD,20200306090500,39026
VD,20200306091000,39008
VD,20200306091500,39011
VD,20200306092000,38866
VD,20200306092500,38761
VD,20200306093000,38586
VD,20200306093500,38557
VD,20200306094000,38528
VD,20200306094500,38336
VD,20200306095000,38267
VD,20200306095500,38141
VD,20200306100000,38101
VD,20200306100500,37695
VD,20200306101000,37629
VD,20200306101500,37484
VD,20200306102000,37300
VD,20200306102500,37249
VD,20200306103000,37169
VD,20200306103500,37125
VD,20200306104000,36998
VD,20200306104500,36839
VD,20200306105000,36767
VD,20200306105500,36671
VD,20200306110000,36595
VD,20200306110500,36406
VD,20200306111000,36367
VD,20200306111500,36441
VD,20200306112000,36428
VD,20200306112500,36189
VD,20200306113000,36062
VD,20200306113500,36090
VD,20200306114000,36016
VD,20200306114500,35889
VD,20200306115000,35935
VD,20200306115500,35977
VD,20200306120000,35931
VD,20200306120500,35964
VD,20200306121000,35767
VD,20200306121500,35761
VD,20200306122000,35726
VD,20200306122500,35697
VD,20200306123000,35611
VD,20200306123500,35458
VD,20200306124000,35294
VD,20200306124500,35239
VD,20200306125000,35225
VD,20200306125500,35211
VD,20200306130000,35146
VD,20200306130500,34879
VD,20200306131000,34940
VD,20200306131500,34875
VD,20200306132000,34884
VD,20200306132500,34877
VD,20200306133000,34761
VD,20200306133500,34686
VD,20200306134000,34700
VD,20200306134500,34654
VD,20200306135000,34641
VD,20200306135500,34735
VD,20200306140000,34657
VD,20200306140500,34848
VD,20200306141000,34898
VD,20200306141500,34954
VD,20200306142000,34953
VD,20200306142500,34957
VD,20200306143000,35038
VD,20200306143500,35023
VD,20200306144000,34986
VD,20200306144500,34923
VD,20200306145000,34898
VD,20200306145500,34911
VD,20200306150000,34937
VD,20200306150500,35010
VD,20200306151000,35148
VD,20200306151500,35140
VD,20200306152000,35169
VD,20200306152500,35199
VD,20200306153000,35302
VD,20200306153500,35506
VD,20200306154000,35807
VD,20200306154500,36100
VD,20200306155000,36347
VD,20200306155500,36581
VD,20200306160000,36788
VD,20200306160500,36861
VD,20200306161000,36981
VD,20200306161500,37149
VD,20200306162000,37398
VD,20200306162500,37830
VD,20200306163000,38067
VD,20200306163500,38248
VD,20200306164000,38470
VD,20200306164500,38878
VD,20200306165000,39011
VD,20200306165500,39164
VD,20200306170000,39216
VD,20200306170500,39698
VD,20200306171000,39961
VD,20200306171500,40299
VD,20200306172000,40418
VD,20200306172500,40669
VD,20200306173000,40852
VD,20200306173500,41164
VD,20200306174000,41285
VD,20200306174500,41444
VD,20200306175000,41748
VD,20200306175500,41829
VD,20200306180000,42027
VD,20200306180500,42598
VD,20200306181000,42766
VD,20200306181500,43056
VD,20200306182000,43328
VD,20200306182500,43524
VD,20200306183000,43581
VD,20200306183500,43499
VD,20200306184000,43332
VD,20200306184500,43192
VD,20200306185000,43119
VD,20200306185500,43022
VD,20200306190000,42877
VD,20200306190500,42712
VD,20200306191000,42541
VD,20200306191500,42386
VD,20200306192000,42369
VD,20200306192500,42083
VD,20200306193000,41825
VD,20200306193500,41778
VD,20200306194000,41709
VD,20200306194500,41606
VD,20200306195000,41502
VD,20200306195500,41360
VD,20200306200000,41109
VD,20200306200500,40745
VD,20200306201000,40242
VD,20200306201500,39747
VD,20200306202000,39599
VD,20200306202500,39356
VD,20200306203000,39295
VD,20200306203500,39274
VD,20200306204000,38982
VD,20200306204500,38658
VD,20200306205000,38287
VD,20200306205500,37987
VD,20200306210000,37722
VD,20200306210500,37399
VD,20200306211000,37045
VD,20200306211500,36619
VD,20200306212000,36417
VD,20200306212500,36251
VD,20200306213000,35807
VD,20200306213500,35408
VD,20200306214000,35108
VD,20200306214500,34689
VD,20200306215000,34487
VD,20200306215500,34129
VD,20200306220000,33790
VD,20200306220500,33503
VD,20200306221000,33248
VD,20200306221500,32921
VD,20200306222000,32605
VD,20200306222500,32411
VD,20200306223000,32174
VD,20200306223500,32057
VD,20200306224000,31753
VD,20200306224500,31449
VD,20200306225000,31124
VD,20200306225500,30752
VD,20200306230000,30389
VD,20200306230500,30274
VD,20200306231000,30073
VD,20200306231500,29574
VD,20200306232000,29336
VD,20200306232500,28965
VD,20200306233000,28775
VD,20200306233500,28732
VD,20200306234000,28528
VD,20200306234500,28132
VD,20200306235000,28009
VD,20200306235500,27856
VD,20200307000000,27453
VD,20200307000500,27728
VD,20200307001000,27983
VD,20200307001500,28007
VD,20200307002000,28031
VD,20200307002500,27974
VD,20200307003000,27892
VD,20200307003500,27997
VD,20200307004000,28054
VD,20200307004500,28061
VD,20200307005000,28118
VD,20200307005500,28106
VD,20200307010000,27995
VD,20200307010500,27922
VD,20200307011000,28137
VD,20200307011500,27817
VD,20200307012000,27577
VD,20200307012500,27250
VD,20200307013000,27176
VD,20200307013500,27135
VD,20200307014000,27114
VD,20200307014500,27082
VD,20200307015000,26914
VD,20200307015500,26776
VD,20200307020000,26647
VD,20200307020500,26471
VD,20200307021000,26394
VD,20200307021500,26311
VD,20200307022000,26240
VD,20200307022500,26139
VD,20200307023000,25960
VD,20200307023500,25905
VD,20200307024000,25920
VD,20200307024500,25797
VD,20200307025000,25791
VD,20200307025500,25734
VD,20200307030000,25647
VD,20200307030500,25712
VD,20200307031000,25528
VD,20200307031500,25297
VD,20200307032000,25217
VD,20200307032500,25125
VD,20200307033000,25075
VD,20200307033500,24999
VD,20200307034000,24811
VD,20200307034500,24711
VD,20200307035000,24746
VD,20200307035500,24672
VD,20200307040000,24535
VD,20200307040500,24533
VD,20200307041000,24386
VD,20200307041500,24264
VD,20200307042000,24255
VD,20200307042500,24370
VD,20200307043000,24319
VD,20200307043500,24309
VD,20200307044000,24281
VD,20200307044500,24211
VD,20200307045000,24270
VD,20200307045500,24281
VD,20200307050000,24307
VD,20200307050500,24291
VD,20200307051000,24352
VD,20200307051500,24457
VD,20200307052000,24683
VD,20200307052500,24751
VD,20200307053000,24888
VD,20200307053500,24986
VD,20200307054000,25212
VD,20200307054500,25404
VD,20200307055000,25207
VD,20200307055500,25321
VD,20200307060000,25346
VD,20200307060500,25594
VD,20200307061000,25814
VD,20200307061500,25998
VD,20200307062000,26153
VD,20200307062500,26299
VD,20200307063000,26474
VD,20200307063500,26548
VD,20200307064000,26617
VD,20200307064500,26733
VD,20200307065000,26907
VD,20200307065500,27084
VD,20200307070000,27258
VD,20200307070500,27517
VD,20200307071000,27968
VD,20200307071500,28280
VD,20200307072000,28347
VD,20200307072500,28557
VD,20200307073000,28789
VD,20200307073500,28897
VD,20200307074000,29123
VD,20200307074500,29309
VD,20200307075000,29478
VD,20200307075500,29701
VD,20200307080000,29906
VD,20200307080500,30359
VD,20200307081000,30635
VD,20200307081500,30827
VD,20200307082000,30933
VD,20200307082500,31113
VD,20200307083000,31466
VD,20200307083500,31686
VD,20200307084000,31947
VD,20200307084500,32030
VD,20200307085000,32181
VD,20200307085500,32434
VD,20200307090000,32534
VD,20200307090500,32727
VD,20200307091000,32648
VD,20200307091500,32725
VD,20200307092000,32876
VD,20200307092500,32681
VD,20200307093000,32722
VD,20200307093500,32797
VD,20200307094000,32780
VD,20200307094500,32729
VD,20200307095000,32772
VD,20200307095500,32842
VD,20200307100000,32890
VD,20200307100500,32747
VD,20200307101000,32691
VD,20200307101500,32757
VD,20200307102000,32803
VD,20200307102500,32774
VD,20200307103000,32556
VD,20200307103500,32537
VD,20200307104000,32573
VD,20200307104500,32518
VD,20200307105000,32427
VD,20200307105500,32379
VD,20200307110000,32102
VD,20200307110500,31605
VD,20200307111000,31804
VD,20200307111500,31725
VD,20200307112000,31529
VD,20200307112500,31478
VD,20200307113000,31436
VD,20200307113500,31392
VD,20200307114000,31298
VD,20200307114500,31318
VD,20200307115000,31293
VD,20200307115500,31211
VD,20200307120000,31406
VD,20200307120500,31163
VD,20200307121000,31181
VD,20200307121500,31115
VD,20200307122000,31038
VD,20200307122500,31017
VD,20200307123000,31039
VD,20200307123500,31028
VD,20200307124000,30993
VD,20200307124500,30972
VD,20200307125000,30940
VD,20200307125500,30960
VD,20200307130000,30997
VD,20200307130500,30632
VD,20200307131000,30791
VD,20200307131500,30694
VD,20200307132000,30658
VD,20200307132500,30648
VD,20200307133000,30761
VD,20200307133500,30901
VD,20200307134000,30780
VD,20200307134500,30603
VD,20200307135000,30587
VD,20200307135500,30571
VD,20200307140000,30597
VD,20200307140500,30646
VD,20200307141000,30739
VD,20200307141500,30783
VD,20200307142000,30817
VD,20200307142500,30808
VD,20200307143000,30656
VD,20200307143500,30668
VD,20200307144000,30702
VD,20200307144500,30731
VD,20200307145000,30717
VD,20200307145500,30746
VD,20200307150000,30723
VD,20200307150500,30838
VD,20200307151000,30919
VD,20200307151500,30926
VD,20200307152000,30941
VD,20200307152500,30919
VD,20200307153000,30890
VD,20200307153500,30996
VD,20200307154000,31040
VD,20200307154500,30964
VD,20200307155000,30945
VD,20200307155500,31154
VD,20200307160000,31125
VD,20200307160500,31317
VD,20200307161000,31399
VD,20200307161500,31555
VD,20200307162000,31730
VD,20200307162500,31885
VD,20200307163000,32036
VD,20200307163500,32166
VD,20200307164000,32352
VD,20200307164500,32616
VD,20200307165000,32787
VD,20200307165500,32862
VD,20200307170000,32808
VD,20200307170500,33328
VD,20200307171000,33687
VD,20200307171500,33890
VD,20200307172000,33836
VD,20200307172500,33971
VD,20200307173000,34239
VD,20200307173500,34502
VD,20200307174000,34657
VD,20200307174500,34955
VD,20200307175000,35169
VD,20200307175500,35292
VD,20200307180000,35476
VD,20200307180500,35896
VD,20200307181000,36102
VD,20200307181500,36234
VD,20200307182000,36224
VD,20200307182500,36246
VD,20200307183000,36321
VD,20200307183500,36258
VD,20200307184000,36102
VD,20200307184500,35923
VD,20200307185000,35759
VD,20200307185500,35918
VD,20200307190000,35832
VD,20200307190500,35846
VD,20200307191000,35640
VD,20200307191500,35404
VD,20200307192000,35170
VD,20200307192500,34968
VD,20200307193000,34689
VD,20200307193500,34508
VD,20200307194000,34214
VD,20200307194500,33865
VD,20200307195000,33606
VD,20200307195500,33396
VD,20200307200000,33323
VD,20200307200500,33135
VD,20200307201000,33083
VD,20200307201500,32857
VD,20200307202000,32470
VD,20200307202500,32032
VD,20200307203000,31890
VD,20200307203500,31643
VD,20200307204000,31331
VD,20200307204500,31110
VD,20200307205000,30965
VD,20200307205500,30820
VD,20200307210000,30641
VD,20200307210500,30189
VD,20200307211000,30134
VD,20200307211500,29983
VD,20200307212000,29724
VD,20200307212500,29485
VD,20200307213000,29242
VD,20200307213500,29058
VD,20200307214000,28841
VD,20200307214500,28575
VD,20200307215000,28261
VD,20200307215500,27983
VD,20200307220000,27773
VD,20200307220500,27460
VD,20200307221000,27356
VD,20200307221500,27042
VD,20200307222000,26770
VD,20200307222500,26576
VD,20200307223000,26432
VD,20200307223500,26400
VD,20200307224000,26250
VD,20200307224500,26006
VD,20200307225000,25674
VD,20200307225500,25382
VD,20200307230000,25218
VD,20200307230500,25013
VD,20200307231000,24837
VD,20200307231500,24595
VD,20200307232000,24350
VD,20200307232500,24163
VD,20200307233000,23971
VD,20200307233500,23838
VD,20200307234000,23706
VD,20200307234500,23615
VD,20200307235000,23509
VD,20200307235500,23323
FTR,1707
